RFQ,Ord DT,Customer,X,Y,Sq.in,#Hls,LY,Line,Aring,Min Aring,Thick,Thick Mil,Mhole,Smallest_Hole_Calc,AR,AR Cal,Cu wt,CuW,CI,CI Final,EI#,Rel,Rel Dt,Shp Dt,Due Dt,Pnl X,Pnl Y,Qty Pnl,# Pnls,LY,Matl,UP,Pcs_Array,RMA_NO,CAType,RMA_Amt
149220,11/7/19,PINNACLE TECHNOLOGY,9,5,45,1289,6,7,0,6,0.062,62,12,12,5.166666667,5.166666667,1/1,1,3062.711521,30.62711521,AA82880,-1,12/5/19,1/2/20,1/2/20,0,0,62,0,6,FR-TG170            ,00:00.0,NULL,NULL,NULL,NULL
149220,11/7/19,PINNACLE TECHNOLOGY,9,5,45,1289,6,7,0,6,0.062,62,12,12,5.166666667,5.166666667,1/1,1,3062.711521,30.62711521,AA82880,-2,12/5/19,NULL,2/26/20,0,0,0,0,6,FR-TG170            ,4,NULL,NULL,NULL,NULL
146434,6/11/19,PINNACLE TECHNOLOGY GROUP,2.825,8.25,23.30625,431,2,8,0,6,0.062,62,21.6,216,2.87037037,2.87037037,1/1,1,21.42590622,0.214259062,AA82857,-1,12/2/19,1/2/20,1/2/20,0,0,7,0,2,FR-4                ,00:00.0,NULL,NULL,NULL,NULL
146434,6/11/19,PINNACLE TECHNOLOGY GROUP,2.825,8.25,23.30625,431,2,8,0,6,0.062,62,21.6,216,2.87037037,2.87037037,1/1,1,21.42590622,0.214259062,AA82857,-2,12/23/19,NULL,5/5/20,0,0,0,0,2,FR-4                ,6,NULL,NULL,NULL,NULL
149471,11/19/19,ASSEMBLY SOLUTIONS LLC,0.85,5.75,4.8875,66,4,8,0,6,0.062,62,31.5,315,1.968253968,1.968253968,1/1,1,19.16673542,0.191667354,AA82853,-1,11/27/19,12/17/19,12/20/19,0,0,5,0,4,FR-4                ,00:00.0,NULL,NULL,NULL,NULL
149545,11/22/19,MICRON CORP,5.5,2.05,11.275,30,2,8,0,6,0.062,62,10,10,6.2,6.2,1/1,1,0.214576926,0.002145769,AA82836,-1,12/24/19,1/10/20,1/15/20,0,0,25,0,2,FR-4                ,00:00.0,NULL,NULL,NULL,NULL
149478,11/20/19,"VALCOM, INC.",2,3.1,6.2,38,2,8,0,6,0.062,62,43,43,6.2,6.2,1/1,1,0.145600916,0.001456009,AA82832,-1,11/22/19,12/9/19,12/9/19,0,0,0,0,2,FR-4                ,00:00.0,NULL,NULL,NULL,NULL
149478,11/20/19,"VALCOM, INC.",2,3.1,6.2,38,2,8,0,6,0.062,62,43,43,6.2,6.2,1/1,1,0.145600916,0.001456009,AA82832,-2,12/5/19,1/27/20,1/27/20,0,0,0,0,2,FR-4                ,00:00.0,NULL,NULL,NULL,NULL
147007-A,11/18/19,DELTA GROUP ELECTRONICS - CA,3.0036,7.5268,22.60749648,49,4,13.8,10,16,0.062,62,10,10,6.2,6.2,1/1,1,0.496511033,0.00496511,AA82825,-1,11/21/19,12/6/19,12/6/19,0,0,5,0,4,FR-4                ,00:00.0,NULL,NULL,NULL,NULL
147007-A,11/18/19,DELTA GROUP ELECTRONICS - CA,3.0036,7.5268,22.60749648,49,4,13.8,10,16,0.062,62,10,10,6.2,6.2,1/1,1,0.496511033,0.00496511,AA82825,-2,1/8/20,NULL,2/24/20,0,0,0,0,4,FR-4                ,8,NULL,NULL,NULL,NULL
149389,11/15/19,DIVELBISS CORPORATION,6.5,9,58.5,948,4,8,0,6,0.062,62,18,18,3.444444444,3.444444444,2/2,2,330.375517,3.30375517,AA82815,-1,11/20/19,12/12/19,12/12/19,0,0,12,0,4,FR-4                ,00:00.0,NULL,NULL,NULL,NULL
149380,11/14/19,LENNOX INDUSTRIES,4,8.137,32.548,1462,6,4,0,6,0.062,62,10,10,6.2,6.2,1/1,1,9532.81704,95.3281704,AA82810,-1,11/19/19,12/2/19,12/2/19,0,0,5,0,6,FR-4                ,00:00.0,NULL,NULL,NULL,NULL
149038,10/29/19,FUSION-EMS,4.528,7.48,33.86944,110,4,20,10,16,0.093,93,40,40,1.6,1.6,1/1,1,1.116419403,0.011164194,AA82792,-1,11/14/19,12/9/19,12/9/19,0,0,12,0,4,FR-4                ,00:00.0,NULL,NULL,NULL,NULL
149038,10/29/19,FUSION-EMS,4.528,7.48,33.86944,110,4,20,10,16,0.093,93,40,40,1.6,1.6,1/1,1,1.116419403,0.011164194,AA82792,-2,12/11/19,1/27/20,1/27/20,0,0,3,0,4,FR-4                ,00:00.0,NULL,NULL,NULL,NULL
148959,10/24/19,MICRON CORP,4.625,16,74,1209,4,8,0,6,0.093,93,37,37,2.513513514,2.513513514,2/2,2,283.1891892,2.831891892,AA82791,-1,11/14/19,12/13/19,12/13/19,0,0,5,0,4,FR-4                ,00:00.0,NULL,NULL,NULL,NULL
148909,10/22/19,PINNACLE TECHNOLOGY GROUP,5.8651,3.4252,20.08914052,1574,14,4,0,6,0.077,77,8,8,9.625,9.625,1/1,1,183117.6641,1831.176641,AA82774,-1,11/13/19,12/17/19,12/20/19,0,0,4,0,14,370HR               ,00:00.0,NULL,NULL,NULL,NULL
149194,11/6/19,INTERNATIONAL ENVIRONMENTAL CORP,3.5,4.25,14.875,276,2,8,0,6,0.069,69,25,25,2.76,2.76,2/2,2,12.3697479,0.123697479,AA82773,-1,11/13/19,11/25/19,11/27/19,0,0,0,0,2,S1600               ,00:00.0,NULL,NULL,NULL,NULL
147995,9/3/19,MICRON CORP,4.25,14.5,61.625,2180,4,8,0,6,0.062,62,31,31,2,2,1/1,1,1658.452747,16.58452747,AA82772,-1,11/13/19,12/9/19,12/9/19,0,0,0,0,4,FR-4                ,00:00.0,NULL,NULL,NULL,NULL
149093,11/1/19,FUSION-EMS,5.035,2.75,13.84625,876,4,8,0,6,0.062,62,13,13,4.769230769,4.769230769,1/1,1,1191.854089,11.91854089,AA82771,-1,11/12/19,11/26/19,11/26/19,0,0,0,0,4,FR-4                ,00:00.0,NULL,NULL,NULL,NULL
